courseTitle,courseLink,enrollments,price,teacherName,designationOrInstitute,category
Start Your Own Counselling Business,https://www.ofcourse.co.uk/course/start-your-own-counselling-business,268,£100,Ira Israel,A Licensed Counsellor & Psychotherapist (LPCC & LMFT),start-your-own
CTAA Accredited Crystal Therapy and Healing,https://www.ofcourse.co.uk/course/ctaa-accredited-crystal-therapy-and-healing,680,£100,Karen E. Wells,KEW Training Academy Ltd,start-your-own
CTAA Accredited Crystal Therapy and Healing,https://www.ofcourse.co.uk/course/ctaa-accredited-crystal-therapy-and-healing,680,£100,Karen E. Wells,KEW Training Academy Ltd,therapies
CTAA Accredited Crystal Therapy and Healing,https://www.ofcourse.co.uk/course/ctaa-accredited-crystal-therapy-and-healing,680,£100,Karen E. Wells,KEW Training Academy Ltd,health-fitness
CTAA Accredited Crystal Therapy and Healing,https://www.ofcourse.co.uk/course/ctaa-accredited-crystal-therapy-and-healing,680,£100,Karen E. Wells,KEW Training Academy Ltd,creativity
CTAA Accredited Crystal Therapy and Healing,https://www.ofcourse.co.uk/course/ctaa-accredited-crystal-therapy-and-healing,680,£100,Karen E. Wells,KEW Training Academy Ltd,career-success
CTAA Accredited Crystal Therapy and Healing,https://www.ofcourse.co.uk/course/ctaa-accredited-crystal-therapy-and-healing,680,£100,Karen E. Wells,KEW Training Academy Ltd,entrepreneurial
CTAA Accredited Crystal Therapy and Healing,https://www.ofcourse.co.uk/course/ctaa-accredited-crystal-therapy-and-healing,680,£100,Karen E. Wells,KEW Training Academy Ltd,spiritual
CTAA Accredited Crystal Therapy and Healing,https://www.ofcourse.co.uk/course/ctaa-accredited-crystal-therapy-and-healing,680,£100,Karen E. Wells,KEW Training Academy Ltd,professional-development
CTAA Accredited Crystal Therapy and Healing,https://www.ofcourse.co.uk/course/ctaa-accredited-crystal-therapy-and-healing,680,£100,Karen E. Wells,KEW Training Academy Ltd,alternative-health
CTAA Accredited Crystal Therapy and Healing,https://www.ofcourse.co.uk/course/ctaa-accredited-crystal-therapy-and-healing,680,£100,Karen E. Wells,KEW Training Academy Ltd,goal-setting
CTAA Accredited Crystal Therapy and Healing,https://www.ofcourse.co.uk/course/ctaa-accredited-crystal-therapy-and-healing,680,£100,Karen E. Wells,KEW Training Academy Ltd,qualifications-accredited-
CTAA Accredited Crystal Therapy and Healing,https://www.ofcourse.co.uk/course/ctaa-accredited-crystal-therapy-and-healing,680,£100,Karen E. Wells,KEW Training Academy Ltd,lifestyle
CTAA Accredited Crystal Therapy and Healing,https://www.ofcourse.co.uk/course/ctaa-accredited-crystal-therapy-and-healing,680,£100,Karen E. Wells,KEW Training Academy Ltd,all-courses
Soap Making Business Diploma,https://www.ofcourse.co.uk/course/soap-making-business-diploma,1405,£100,Maxine Clarke,"Owner of soap-making company, Caribbean Paradise",start-your-own
Soap Making Business Diploma,https://www.ofcourse.co.uk/course/soap-making-business-diploma,1405,£100,Maxine Clarke,"Owner of soap-making company, Caribbean Paradise",creativity
Soap Making Business Diploma,https://www.ofcourse.co.uk/course/soap-making-business-diploma,1405,£100,Maxine Clarke,"Owner of soap-making company, Caribbean Paradise",career-success
Soap Making Business Diploma,https://www.ofcourse.co.uk/course/soap-making-business-diploma,1405,£100,Maxine Clarke,"Owner of soap-making company, Caribbean Paradise",entrepreneurial
Soap Making Business Diploma,https://www.ofcourse.co.uk/course/soap-making-business-diploma,1405,£100,Maxine Clarke,"Owner of soap-making company, Caribbean Paradise",masterclasses
Soap Making Business Diploma,https://www.ofcourse.co.uk/course/soap-making-business-diploma,1405,£100,Maxine Clarke,"Owner of soap-making company, Caribbean Paradise",professional-development
Soap Making Business Diploma,https://www.ofcourse.co.uk/course/soap-making-business-diploma,1405,£100,Maxine Clarke,"Owner of soap-making company, Caribbean Paradise",lifestyle
Payroll Management ,https://www.ofcourse.co.uk/course/payroll-management-,766,£100,Lisa Newton,Author,start-your-own
Payroll Management ,https://www.ofcourse.co.uk/course/payroll-management-,766,£100,Lisa Newton,Author,entrepreneurial
Payroll Management ,https://www.ofcourse.co.uk/course/payroll-management-,766,£100,Lisa Newton,Author,finance
Payroll Management ,https://www.ofcourse.co.uk/course/payroll-management-,766,£100,Lisa Newton,Author,latest-releases
Bookkeeping & Accounting Fundamentals,https://www.ofcourse.co.uk/course/bookkeeping--accounting-fundamentals,254,£100,Chris Moore,Financial and Accounting Instructor,start-your-own
Bookkeeping & Accounting Fundamentals,https://www.ofcourse.co.uk/course/bookkeeping--accounting-fundamentals,254,£100,Chris Moore,Financial and Accounting Instructor,entrepreneurial
Bookkeeping & Accounting Fundamentals,https://www.ofcourse.co.uk/course/bookkeeping--accounting-fundamentals,254,£100,Chris Moore,Financial and Accounting Instructor,finance
Business Set Up: Event Management Bundle,https://www.ofcourse.co.uk/course/business-set-up-event-management-bundle,82,£150,Davis Jones,Roberto Neri,start-your-own
Business Set Up: Event Management Bundle,https://www.ofcourse.co.uk/course/business-set-up-event-management-bundle,82,£150,Davis Jones,Roberto Neri,productivity
Business Set Up: Event Management Bundle,https://www.ofcourse.co.uk/course/business-set-up-event-management-bundle,82,£150,Davis Jones,Roberto Neri,entrepreneurial
Business Set Up: Event Management Bundle,https://www.ofcourse.co.uk/course/business-set-up-event-management-bundle,82,£150,Davis Jones,Roberto Neri,marketing
Business Set Up: Event Management Bundle,https://www.ofcourse.co.uk/course/business-set-up-event-management-bundle,82,£150,Davis Jones,Roberto Neri,bundles
Jewellery Making Business: Start Your Own!,https://www.ofcourse.co.uk/course/jewellery-making-business-start-your-own,300,£100,Claire Pearcy,Jewellery Design,start-your-own
Jewellery Making Business: Start Your Own!,https://www.ofcourse.co.uk/course/jewellery-making-business-start-your-own,300,£100,Claire Pearcy,Jewellery Design,entrepreneurial
Become A Self Employed Massage Therapist,https://www.ofcourse.co.uk/course/become-a-self-employed-massage-therapist,193,£100,Ryan Oickle,"Massage Professional, Entrepreneur",start-your-own
Become A Self Employed Massage Therapist,https://www.ofcourse.co.uk/course/become-a-self-employed-massage-therapist,193,£100,Ryan Oickle,"Massage Professional, Entrepreneur",entrepreneurial
Wedding Videography: Start your own successful business!,https://www.ofcourse.co.uk/course/wedding-videography-start-your-own-successful-business,173,£100,Philip Ebiner,Video School Online,start-your-own
Wedding Videography: Start your own successful business!,https://www.ofcourse.co.uk/course/wedding-videography-start-your-own-successful-business,173,£100,Philip Ebiner,Video School Online,new-career
Wedding Videography: Start your own successful business!,https://www.ofcourse.co.uk/course/wedding-videography-start-your-own-successful-business,173,£100,Philip Ebiner,Video School Online,entrepreneurial
Book Writing For Beginners: Improving Your Prose,https://www.ofcourse.co.uk/course/book-writing-for-beginners-improving-your-prose,158,£100,Jim Bruce,Acoustic Blues Guitarist and Author ,start-your-own
Book Writing For Beginners: Improving Your Prose,https://www.ofcourse.co.uk/course/book-writing-for-beginners-improving-your-prose,158,£100,Jim Bruce,Acoustic Blues Guitarist and Author ,basic-tech
Book Writing For Beginners: Improving Your Prose,https://www.ofcourse.co.uk/course/book-writing-for-beginners-improving-your-prose,158,£100,Jim Bruce,Acoustic Blues Guitarist and Author ,productivity
Book Writing For Beginners: Improving Your Prose,https://www.ofcourse.co.uk/course/book-writing-for-beginners-improving-your-prose,158,£100,Jim Bruce,Acoustic Blues Guitarist and Author ,entrepreneurial
Become a Yoga Therapist ,https://www.ofcourse.co.uk/course/become-a-yoga-therapist-,98,£100,Matthew Taylor,PhD and Yoga therapist,start-your-own
Become a Yoga Therapist ,https://www.ofcourse.co.uk/course/become-a-yoga-therapist-,98,£100,Matthew Taylor,PhD and Yoga therapist,entrepreneurial
Become a Yoga Therapist ,https://www.ofcourse.co.uk/course/become-a-yoga-therapist-,98,£100,Matthew Taylor,PhD and Yoga therapist,sport
Launch Your Own Fashion Brand,https://www.ofcourse.co.uk/course/launch-your-own-fashion-brand,137,£100,Ward & Fifth Consulting,Teaching the skills needed to launch a Fashion Brand,start-your-own
Launch Your Own Fashion Brand,https://www.ofcourse.co.uk/course/launch-your-own-fashion-brand,137,£100,Ward & Fifth Consulting,Teaching the skills needed to launch a Fashion Brand,fashion-beauty
An Introduction to Jewellery Making,https://www.ofcourse.co.uk/course/an-introduction-to-jewellery-making,142,£100,Kayleigh Kavanagh,Jewellery designer and crafter. ,start-your-own
An Introduction to Jewellery Making,https://www.ofcourse.co.uk/course/an-introduction-to-jewellery-making,142,£100,Kayleigh Kavanagh,Jewellery designer and crafter. ,fashion-beauty
Cake Making Business,https://www.ofcourse.co.uk/course/cake-making-business,346,£100,David Brice,Tutor at Paul Bradford Sugarcraft School. ,start-your-own
Nail Art Technician Bundle: Master Manicures & Pedicures,https://www.ofcourse.co.uk/course/nail-art-technician-bundle-master-manicures--pedicures,83,£150,Sam Biddle,Pamela Maureen Blackman,start-your-own
Nail Art Technician Bundle: Master Manicures & Pedicures,https://www.ofcourse.co.uk/course/nail-art-technician-bundle-master-manicures--pedicures,83,£150,Sam Biddle,Pamela Maureen Blackman,fashion-beauty
Bookkeeping Automation for Small Businesses,https://www.ofcourse.co.uk/course/bookkeeping-automation-for-small-businesses,75,£100,Aliz Bodo,CEO & Founder of Wise Bookkeeping Ltd,start-your-own
Bookkeeping Automation for Small Businesses,https://www.ofcourse.co.uk/course/bookkeeping-automation-for-small-businesses,75,£100,Aliz Bodo,CEO & Founder of Wise Bookkeeping Ltd,finance
Floristry: Bloom Your Business,https://www.ofcourse.co.uk/course/floristry-bloom-your-business,44,£100,Andreea Stor,"Andreea Stor is an entrepreneur, business educator and founder of her own floral design company.",start-your-own
Home Business: The Complete CPA Marketing Guide,https://www.ofcourse.co.uk/course/home-business-the-complete-cpa-marketing-guide,75,£100,Sandor Kiss, Performance Marketer,start-your-own
Home Business: The Complete CPA Marketing Guide,https://www.ofcourse.co.uk/course/home-business-the-complete-cpa-marketing-guide,75,£100,Sandor Kiss, Performance Marketer,marketing
